user_id,timestamp,foreground_app,opened_apps,user_group
device-00000002,2026-05-01 09:40:50,哔哩哔哩,哔哩哔哩,大学生
device-00000002,2026-05-01 11:55:48,华为浏览器,哔哩哔哩;华为浏览器,大学生
device-00000002,2026-05-01 12:17:49,WPS,哔哩哔哩;华为浏览器;WPS,大学生
device-00000002,2026-05-01 14:10:16,哔哩哔哩,哔哩哔哩;华为浏览器;WPS,大学生
device-00000002,2026-05-01 14:39:06,华为音乐,哔哩哔哩;华为浏览器;WPS;华为音乐,大学生
device-00000002,2026-05-01 17:25:09,华为邮箱,哔哩哔哩;华为浏览器;WPS;华为音乐;华为邮箱,大学生
device-00000002,2026-05-01 22:11:18,哔哩哔哩,哔哩哔哩;华为浏览器;WPS;华为音乐;华为邮箱,大学生
device-00000002,2026-05-01 22:41:47,华为浏览器,哔哩哔哩;华为浏览器;WPS;华为音乐;华为邮箱,大学生
device-00000002,2026-05-02 11:24:31,哔哩哔哩,哔哩哔哩;华为浏览器;WPS;华为音乐;华为邮箱,大学生
device-00000002,2026-05-02 15:05:53,华为浏览器,哔哩哔哩;华为浏览器;WPS;华为音乐;华为邮箱,大学生
device-00000002,2026-05-02 15:09:49,WPS,哔哩哔哩;华为浏览器;WPS;华为音乐;华为邮箱,大学生
device-00000002,2026-05-02 15:25:25,哔哩哔哩,哔哩哔哩;华为浏览器;WPS;华为音乐;华为邮箱,大学生
device-00000002,2026-05-02 15:25:47,华为音乐,哔哩哔哩;华为浏览器;WPS;华为音乐;华为邮箱,大学生
device-00000002,2026-05-02 15:37:52,WPS,哔哩哔哩;华为浏览器;WPS;华为音乐;华为邮箱,大学生
device-00000002,2026-05-02 15:40:07,华为音乐,哔哩哔哩;华为浏览器;WPS;华为音乐;华为邮箱,大学生
device-00000002,2026-05-02 15:50:01,哔哩哔哩,哔哩哔哩;华为浏览器;WPS;华为音乐;华为邮箱,大学生
device-00000002,2026-05-02 17:18:28,华为音乐,哔哩哔哩;华为浏览器;WPS;华为音乐;华为邮箱,大学生
device-00000002,2026-05-02 17:29:43,华为浏览器,哔哩哔哩;华为浏览器;WPS;华为音乐;华为邮箱,大学生
device-00000002,2026-05-02 18:25:07,哔哩哔哩,哔哩哔哩;华为浏览器;WPS;华为音乐;华为邮箱,大学生
device-00000002,2026-05-02 18:32:15,华为音乐,哔哩哔哩;华为浏览器;WPS;华为音乐;华为邮箱,大学生
device-00000002,2026-05-02 18:34:05,WPS,哔哩哔哩;华为浏览器;WPS;华为音乐;华为邮箱,大学生
device-00000002,2026-05-02 18:58:04,哔哩哔哩,哔哩哔哩;华为浏览器;WPS;华为音乐;华为邮箱,大学生
device-00000002,2026-05-03 14:23:01,华为音乐,哔哩哔哩;华为浏览器;WPS;华为音乐;华为邮箱,大学生
device-00000002,2026-05-03 17:28:05,哔哩哔哩,哔哩哔哩;华为浏览器;WPS;华为音乐;华为邮箱,大学生
device-00000002,2026-05-04 14:32:24,海泰浏览器,哔哩哔哩;华为浏览器;WPS;华为音乐;华为邮箱;海泰浏览器,大学生
device-00000002,2026-05-04 15:48:46,哔哩哔哩,哔哩哔哩;华为浏览器;WPS;华为音乐;华为邮箱;海泰浏览器,大学生
device-00000002,2026-05-04 20:28:33,华为视频,哔哩哔哩;华为浏览器;WPS;华为音乐;华为邮箱;海泰浏览器;华为视频,大学生
